City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
576,Rocha,UY,57.18,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
579,Novoorsk,RU,57.85,overcast clouds,51.381,58.9813,Gostevoi dom >
580,Gawler,AU,55.9,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
582,Velyka Bahachka,UA,63.91,broken clouds,49.7912,33.7226,"Ooo Sanatoriy ""Psʹol"""
585,Varhaug,NO,54.9,overcast clouds,58.6147,5.6457,
587,Archidona,ES,64.42,overcast clouds,37.0965,-4.3887,Hotel Escua
588,Raudeberg,NO,56.07,clear sky,61.9875,5.1352,Nordre Silda.
590,San Carlos De Bariloche,AR,53.35,scattered clouds,-41.1456,-71.3082,Hotel Patagonia
591,Sooke,CA,60.62,overcast clouds,48.3746,-123.7276,Sooke Harbour House Hotel & Resort
593,Marienburg,PL,51.46,broken clouds,54.0359,19.0266,Hotel Centrum Malbork
594,Lashio,MM,69.93,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
597,Warragul,AU,52.25,overcast clouds,-38.1667,145.9333,Comfort Inn & Suites Warragul
598,Deer Lake,CA,57.06,overcast clouds,49.1667,-57.4316,"Holiday Inn Express Deer Lake, an IHG Hotel"
602,Zharkent,KZ,68.32,few clouds,44.1628,80.0,гостиница Satti
605,Bafra,TR,56.98,broken clouds,41.5678,35.9069,Sevgi Otel
608,Smithers,CA,50.32,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
610,Shingu,JP,60.91,overcast clouds,33.7333,135.9833,Shingu UI Hotel
611,Mafinga,TZ,65.77,overcast clouds,-7.25,35.0667,
613,Ureki,GE,55.83,clear sky,41.9956,41.7786,Hotel Ritsa
614,Yinchuan,CN,67.77,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
615,Bozhou,CN,70.77,light rain,33.8772,115.7703,Haitian Hotel
617,Gualaquiza,EC,65.39,light rain,-3.4,-78.55,Hotel Merceditas
619,Yumen,CN,64.99,broken clouds,40.2833,97.2,
620,Taltal,CL,65.79,overcast clouds,-25.4,-70.4833,Residencial Karime
623,Vasto,IT,62.69,clear sky,42.1243,14.7059,Hotel President
624,Klyuchi,RU,73.31,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
625,Calvinia,ZA,59.81,overcast clouds,-31.4707,19.776,Die Lemoenhuis
627,Wexford,IE,50.58,few clouds,52.3342,-6.4575,Talbot Hotel Wexford
628,Fairbanks,US,64.74,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
631,Ambovombe,MG,66.45,clear sky,-25.1667,46.0833,RELAHARA
634,Nyimba,ZM,55.6,clear sky,-14.5566,30.8149,Dali Dali Lodge
635,Port Lincoln,AU,57.45,few clouds,-34.7333,135.8667,Port Lincoln Hotel
644,Leua,SK,52.11,scattered clouds,48.2156,18.6071,Business Hotel ASTRUM Laus
645,Christchurch,NZ,54.0,clear sky,-43.5333,172.6333,YMCA Christchurch
646,Tyumentsevo,RU,67.87,scattered clouds,53.3224,81.498,
649,Yongan,CN,61.21,broken clouds,39.6957,113.6871,Beiyue International Hotel
652,Stornoway,GB,51.93,overcast clouds,58.2093,-6.3865,Caladh Inn
653,Karabulak,RU,57.76,overcast clouds,43.3036,44.8964,U Yakh'i
657,Bairnsdale,AU,53.08,broken clouds,-37.8333,147.6167,Town Central Motel
658,Velykoploske,UA,58.03,clear sky,47.0125,29.6717,
659,Tiznit,MA,59.14,few clouds,29.5833,-9.5,
661,Ponta Delgada,PT,61.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
662,Elliot,ZA,50.13,broken clouds,-31.3333,27.85,Rose Garden Dinner Bed and Breakfast
674,Maxixe,MZ,64.44,few clouds,-23.8597,35.3472,Oceano
678,Singaparna,ID,70.0,broken clouds,-7.3515,108.111,Wisma Dewi Hotel
682,Viransehir,TR,72.14,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
685,Ushtobe,KZ,68.86,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
686,Portland,US,74.8,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
687,Zvolen,SK,51.01,few clouds,48.5744,19.1532,Hotel Polana
